,emotion,selection0,selection1,label
3250,"['annoyed', 'powerful', 'good', 'aggravated', 'anger']","However, she did not have extra money.",Finn's sister told him he needed to behave.,1
3251,"['accomplished', 'happy', 'excited', 'victorious', 'disappointed', 'sad', 'competitive', 'fun', 'upset']",The game ended when the first team lose their balance and fell.,Billy stood in the middle of the field nervously.,0
3252,"['unsteady', 'concerned', 'upset', 'worried', 'unhealthy']",He was diagnosed with laryngitis.,Stan couldn't sleep because he was nervous with worry.,1
3253,['happy'],THe new skates worked great!,She was embarrassed about needing them.,0
3254,"['great', 'happy', 'excited', 'trust', 'affection']",They had a great time going to the movies.,Lexi started to cry.,0
3255,"['bad', 'trust', 'clever', 'annoyed', 'cheated', 'guilty']",Pam asked her sister to pick the kids up.,Tim cheated and only pretended to hold his breath.,1
3256,"['uncomfortable', 'disappointed', 'exhausted', 'amused']",Then she couldn't swing any more.,But he would not budge.,0
3257,"['excited', 'proud', 'anxious']",It was covered in mud.,I went to the salon to get it done.,1
3258,"['embarrassed', 'sad', 'ashamed', 'sorry', 'anger', 'disgusted']",We tried to help her feel better.,They were unable to hide the near nausea they experienced!,1
3259,['determined'],She spent three months eating healthy and exercising.,And she knew Rita had told Mary what she promised to keep secret.,0
3260,"['pain', 'anger', 'pained', 'clumsy']",Molly loved going to dance classes.,I slammed my hand in the door letting her in.,1
3261,"['anger', 'hostile', 'rejected', 'annoyed']",But she couldn't.,Harry screamed and threw stuff until his sister made the sandwich.,1
3262,"['relieved', 'bored', 'mean', 'used', 'sad', 'embarrassed', 'angry', 'rejected']","We got along ok, but I really only wanted an escape.",He gave him a ticket.,0
3263,"['relieved', 'annoyed']",Right after going through that process he found his wallet.,He felt secretly disappointed.,0
3264,"['interested', 'intrigued']",He picked the mushrooms.,She had to teach a first grade class.,0
3265,"['hungry', 'hopeful']",But one puppy is weak and unconscious.,Cathy was on a diet.,1
3266,"['excited', 'happy', 'nervous', 'surprised']",Everyone enjoyed looking at the sea creatures.,He showed up unexpected.,1
3267,"['upset', 'frustrated']",After a lot of measuring and frustration I gave up.,I got into my car and went on the road.,0
3268,"['excited', 'good']",The bank called him again when he finally was getting up.,She drank a soda before she left.,1
3269,"['happy', 'nervous', 'excited', 'renewed', 'sad', 'lonely', 'calm']","When Joe was eight Year's old, his family moved to the big city.",Brent wanted a girlfriend.,0
3270,"['lovely', 'good', 'happy', 'excited']",She had been planning a surprise birthday party for him.,I bought a corny little card and some chocolates.,1
3271,"['worried', 'anxious', 'concerned', 'scared']",So it didn't think it was worth it.,One morning my husband woke me up with a worried look on his face.,1
3272,"['irritation', 'free', 'sad']",I just wasn't happy with that lifestyle.,"Now with the calendar, Robert is much more organized with his work.",0
3273,"['excited', 'proud', 'happy', 'joy', 'prepared']",My cousin and I came home with several things.,They were pumped up and ready to go!,1
3274,"['scared', 'helpless', 'uncomfortable', 'nervous', 'surprised', 'helpful', 'confused', 'wanted']",Rose was relieved when he finally returned back a few minutes later.,He asked his friend for advice about the problem he had.,1
3275,"['lazy', 'stuffed', 'satiated']",Jane got a new kitty.,The kids were too full from nuggets to eat!,1
3276,"['fine', 'happy', 'relieved']",Sam asked his mom for a ride to his pal's house.,"She took the dog to the vet, where she got a clean bill of health.",1
3277,"['motivated', 'proud', 'dedicated', 'diligent']",Jason was working hard.,Anne was anorexic.,0
3278,"['resourceful', 'happy', 'surprised']",He bought some protein shakes and vegetables.,She found a lot of books used for cheap.,1
3279,"['grateful', 'relieved', 'thankful', 'panicked', 'surprised']",He called the support line for the carrier.,Hot neighbor climbed the ladder and got the cat.,1
3280,"['mischievous', 'excited', 'suspenseful']",Jake wanted to scare his little brother.,"While he hung fliers up, a lady saw one and told him she had Snowy!",0
3281,"['joyous', 'happy', 'overjoyed']",May and Nic had been married for ten years.,His eyes lit up with joy when he saw his best friend instead.,1
3282,"['great', 'proud', 'happy']","The next day when they came home, she was laying on her bed.",Carrie wasn't much into reading and she got very bored.,0
3283,"['upset', 'sad', 'good', 'confuse', 'hopeful', 'improvement']",It had horrible violence in it.,He went to a hospital once a week and was exposed to bright lights.,1
3284,"['disgust', 'surprised', 'loyal', 'helpful', 'resourceful', 'valiant', 'dead', 'afraid', 'fearful']",No one liked to be around him because of his singing.,The cat gave the mouse to the owner.,1
3285,"['friendly', 'nostalgic']",Tom returned to work on Monday feeling like a new man!,His mind was flooded with old memories from his youth.,1
3286,"['sorry', 'impatient', 'annoyed', 'worried']",Claudia was a big fan of photography.,Soon Lisa needed to stop at a restroom.,1
3287,"['adrenaline', 'loved', 'shocked', 'happy', 'excited', 'elated', 'surprising']","But when he got home, dozens of people jumped out at him.",I had a stroke in 2011.,0
3288,"['surprise', 'surprised', 'shocked', 'lovable', 'impressed', 'proud', 'accomplished', 'impressive']",Ivan tied the balloons to himself and said farewell to the earth.,"During graduation, everyone was impressed by Ray.",1
3289,"['rejected', 'embarrassed', 'reformed']",I was out for a jog with my girlfriend one day.,He knew he had to reign it in from that point onward.,1
3290,"['lonely', 'restless', 'afraid', 'scared']",Jodi was almost too scared to go to bed.,Tom didn't think he was speeding.,0
3291,['lucky'],The tow truck driver was able unlock the car.,Jervis has been single for a long time.,0
3292,"['conflicted', 'sad', 'disappointed', 'upset', 'blameful', 'uneasy']",His daughter was allergic to the dog.,Cathy was on a diet.,0
3293,"['disappointed', 'upset', 'punctual', 'orderly', 'tired']",The DNA test result showed that Spencer was not the biological father.,The bank closed at 5pm.,1
3294,"['anxious', 'happy', 'excited']",The Cox family was preparing for it all.,He found out that his neighbor made great apple pies.,0
3295,"['sad', 'disgusted', 'desperate', 'regretful', 'disappointed']","Later, he didn't have enough money to see a movie with his friends.",I was using crayons to make pictures.,0
3296,"['worried', 'concerned', 'unprepared']",At night time he goes to sabotage the equipment.,He has not studied at all.,1
3297,"['sympathetic', 'helpful', 'joy', 'thankful', 'happy']",The metal detector began to beep.,Her grandson offered to go pick them up for her.,1
3298,"['hurried', 'embarrassed', 'stressed', 'worried', 'nervous']",She was tired at school.,She had overslept and was late by 20 minutes.,1
3299,"['silly', 'goofy', 'afraid', 'surprised', 'enthused', 'upset', 'interested']","However, one of the boys came up to Kenny.",He got into a big bag of flour which got all over him.,1
3300,"['excited', 'happy', 'enjoyment', 'content', 'joyful']","One night at a restaurant, Tom got mad and threw a bun at Keira.",Bev and her brother loved to ride their bikes down big hills.,1
3301,"['annoyed', 'hurt', 'confused', 'happy']",Paul was carrying his dishes to the sink.,It is their anniversary today.,1
3302,"['innovative', 'happy', 'anxious']",One day she decided to apply for a new position.,It's now her favorite apple dish!,0
3303,"['relieved', 'confident', 'scared']",Martin proceeded to pick out a nice design of his name.,Jenny is very happy she visited her sick grandmother.,0
3304,"['happy', 'excited']",Will wanted to improve his health.,They found one at a dollar movie theatre.,1
3305,"['confused', 'scared', 'intrigued']",It began to move on its own.,But one puppy is weak and unconscious.,0
3306,"['happy', 'inspired', 'smart']",The entrepreneurs had an idea.,He made progress on all three items.,0
3307,['mad'],Unfortunately his interior got soaked.,I went to the end of my street then went back home.,0
3308,"['sad', 'satisfied', 'unimpressed', 'nervous', 'defensive', 'unattractive', 'disgust']",Drew took out a $300 deposit from his credit card.,She turned him down.,1
3309,"['oblivious', 'calm', 'scared', 'terrified']",His lottery ticket turned out to be a five thousand dollar winner.,Sam started struggling to stay above water when Darcy wasn't looking.,1
3310,"['excited', 'happy']","Finally, I found them.",Bradley was running towards the pool.,1
3311,"['stupid', 'embarrassed', 'okay', 'happy']",He smiled and didn't seem to be upset.,Anja wanted to feel useful in her life.,0
3312,"['great', 'excited', 'nervous']",Christa quickly washed up and then held the baby.,The man was strict but fair and treated Annie well.,0
3313,"['grateful', 'compassion', 'glad', 'empathetic', 'kind']",I ate the chocolate and thanked him for his kindness.,Alan and his brother spent the day turning the basement into a room.,0
3314,"['anticipated', 'funny', 'amused']",I drove forty five minutes in the dark.,"Bill would wait and watch the victims of his pranks, laughing.",1
3315,['excited'],Then they ran off to shoot and score!,"As she stepped outside of the airport, it was very rainy.",0
3316,"['eager', 'proud', 'happy']",Tom entered his dog into a dog show.,I've been using it to track my projects day to day.,0
3317,"['agitated', 'upset', 'angry', 'crazy']",Carlos began to lose his mind.,His girlfriend was embarrassed and rejected him.,0
3318,"['fear', 'terror', 'hopeless']",Next week we'll return to the woods with our dog for more fun.,Jacqueline is afraid of earthquakes.,1
3319,"['desperate', 'defeated', 'hopeful', 'helpful']",He thought he didn't have anything to lose.,"Lightning struck, and a tree fell into the garage.",0
3320,"['nervous', 'happy', 'surprised', 'worried']","As she was mixing in the milk, she poured too much.",Finally Jenny tries wearing a pair of high heels to work.,1
3321,"['curious', 'relieved', 'agitated']",But she had wondered where Bill had been all day!,She was really upset when the store would not take the return.,0
3322,"['angry', 'nervous', 'annoyed', 'sad']",Amy's phone was broken and needed to be replaced.,Alan's wife suggested that his brother live in the basement.,0
3323,"['thrilled', 'excited', 'elated', 'shocked']",Andrea was shocked but delighted to tell her husband the news.,It frustrated his wife.,0
3324,"['fun', 'entertained', 'interested', 'inspired', 'playful']",Then she noticed another grey hair.,My younger brother and I were golfing with plastic clubs.,1
3325,"['disappointed', 'determined', 'confused', 'annoyed', 'indifferent', 'sorry']","He asked advice of his coworkers, but they had no suggestion.",This was his last attempt as he paddled with the wave.,0
3326,"['relieved', 'happy']",Before long she had become hopelessly lost in the woods.,She stared at the traffic happy to have made her escape.,1
3327,"['stupid', 'clumsy', 'hurt', 'frustration']",Suzy really needed to pay off her credit card.,His soup covered the entire floor.,1
3328,"['accomplished', 'proud', 'happy', 'successful', 'competent']",Sam now has acres of farmland and a successful salad business!,She figured she would fail.,0
3329,"['surprised', 'shocked', 'upset', 'embarrassed']",She felt much less vulnerable after attaining her black belt.,I accidentally got ink on my lips.,1
3330,"['content', 'happy']",She wrote about the Great Barrier Reef.,The sun was setting as they approached a trail heading home.,1
3331,"['excited', 'indifferent', 'intrigued']",Tim was at the mall.,And that's how I learned to play the piano with my feet!,0
3332,"['exulted', 'proud', 'accomplished']",The guitar turned out beautiful and Megan was proud of herself.,His pen stopped working.,0
3333,"['planned', 'ambitious', 'energetic']","Suddenly, a huge tuna swam under his legs and flipped him!",I went home to digest what he had told me and formulate a plan.,1
3334,"['anger', 'disappointed', 'angry', 'disgusted']",Andy smelled the milk and noticed it was spoiled.,"One day, she finally got to audition for a big show.",0
3335,"['anxious', 'nervous', 'anticipation', 'efficient', 'knowledgeable', 'rushed']",They knew it would be faster to fly.,The cat pawed at the rock.,0
3336,"['sadness', 'concerned', 'guilty', 'confused', 'questioned']",A man walked by it and gave it a look.,He was not sure.,1
3337,"['relieved', 'happy', 'comfortable', 'indifferent']","After his first day at work wearing his new shoes, Jasper felt great.",He began his climb.,0
3338,"['happy', 'disappointed', 'bored']",I only saw one bird and it was a sea gull.,The farmer planted a large garden for the town.,0
3339,"['suspicious', 'honest', 'responsible', 'fulfilled', 'happy', 'unhappy']",To his delight this meant he didn't have to take his class exam.,"Unsurprisingly, none of the workers shared the codes with each other.",1
3340,"['annoyed', 'miserable', 'irritated']",I have been scratching the bite all day long since I got it.,The pain relieved a little bit.,0
3341,"['nostalgic', 'thoughtful', 'satisfied']",His favorite thing was a VCR.,Alex and his family were both sad when their vacation was over.,0
3342,"['relieved', 'happy']",Tim died in the hospital shortly after.,They were able to give him a replacement.,1
3343,"['annoyed', 'frustrated', 'upset', 'restrictive']",Donny declined and remained depressed about it.,They had no vegetarian dishes.,1
3344,"['relaxed', 'intrigued', 'happy']",The family took a trip to Amish Country.,He asked the waitress for the bill.,0
3345,"['sad', 'upset', 'hopeful', 'anxious']",Sally filed for unemployment at her local government office after.,Our sales on this merchandise tripled in just a few hours.,0
3346,"['disgust', 'sick']",Todd was disgusted with the mess.,He ran in to tell his superior officer what he discovered.,0
3347,"['frustration', 'overwhelmed', 'hot']",He was feeling very hot.,One day she arrived at work to find the power out.,0
3348,"['generous', 'grateful', 'thankful']",Benedict donated half the money to charity.,Katie designed and sewed a dress and looked fabulous.,0
3349,"['great', 'happy', 'proud']",So her mother donated them to a local charity.,"She held her own for many rounds, eliciting much applause.",1
3350,"['unlucky', 'fear', 'upset']",Unfortunately the sprayer was broken and Iris got too dark.,He felt that they simply understood him intuitively.,0
3351,"['regret', 'surprised']","However, when she took a bite, she realized they tasted awful!",I wanted to give a Valentine to a coworker.,0
3352,"['accomplished', 'satisfied', 'competent']",Charles wanted to watch his favorite show on the television.,Tom voted for the candidate he liked the most.,1
3353,"['uncertain', 'curious', 'disappointed', 'mirthful', 'helpful', 'concerned']",Sally called her mother to ask what she did wrong.,She forgot to bring her sunblock but already drove far.,0
3354,"['bombed', 'upset']","My house is not far away, but water covers the road at high tide.",It was a great solution to his snow cone problem.,0
3355,"['unimpressed', 'bored']",Kim was upset that she couldn't find her camera anywhere.,He played it for a few hours but never got into it.,1
3356,"['uncertain', 'outraged']",He had given a customer a high quote.,She walked away from the window and tried to ignore them.,0
3357,"['scared', 'upset', 'afraid', 'bouncy', 'frightened', 'grateful']",It took 15 minutes to rinse the Comet from the bathtub once clean.,The baby was passed seamlessly between 3 people.,1
3358,"['happy', 'adventurous', 'anticipatory']",Tom decided to take a road trip.,"When he got chosen to undergo the initiation, he was elated.",0
3359,"['determined', 'eager', 'healthy']",She started doing sit-ups every morning.,Candy grounded her son for one week.,0
3360,"['sad', 'happy', 'discouraged']",Margaret couldn't afford her regular eye makeup anymore.,She did not want to use any drugs.,0
3361,"['motivated', 'expectant', 'nervous']",He checked the mailbox everyday hoping for the big envelope.,He drove around every morning to collect trash.,0
3362,"['nervous', 'disoriented', 'scared']",He was sent to the doctor.,Amy doesn't want to go camping again.,0
3363,"['sad', 'down', 'sorry', 'giving', 'worried', 'annoyed']",Someone texted me then.,This year my family asked me not to give up coffee for Lent.,1
3364,"['relaxed', 'embarrassed']",The bartender knew this look very well.,"When he re-lit it, it had been full of gas.",0
3365,"['proud', 'happy', 'intrigued', 'excited', 'valued', 'surprised', 'enlightened', 'OK', 'bored']",She announced that the most favorite animal was the monkey.,"We did not feed her, as we did not think the batter was good for her.",0
3366,"['irritated', 'justified', 'determined']","On his first day, Horace has many customers who order coffee.",She decided she'd have to bite the bullet and clean it.,1
3367,"['annoyed', 'bored', 'angry', 'happy', 'anxious', 'annoying']",Kim felt dumb as she left to work.,My friend Sal kept calling me.,1
3368,"['worried', 'scared', 'worrisome', 'nervous', 'surprised', 'prepared']",He started to tell the joke and realized he forgot how it ended.,Bill decided that he'd better see a doctor about the odd spot.,1
3369,"['responsible', 'accountable', 'proficient', 'powerful']",As she sat at her desk the pain grew more and more intense.,Mark Salzman was a fishing boat captain.,1
3370,"['happy', 'excited', 'anticipation', 'optimistic']",She was hoping to find a way to turn her passions into a career.,Kelly bought a scratch lottery ticket on a whim.,1
3371,"['motivated', 'satisfied', 'anticipation']",I bought a bird checklist book.,He realized that his hard work is what made him good at the sport.,0
3372,"['exhilarated', 'excited']",Abe dug into the sand.,There was a storm over Bill's house.,0
3373,"['anxious', 'fear']",She was going to be late so she ran out.,She got a call one night that was very difficult.,0
3374,"['competitive', 'nervous', 'courageous']",It took everything he had to dance with all of his self doubt.,And trip people all the time.,0
3375,"['glad', 'normal', 'anticipation']",Something out of nowhere had broken his amp.,She bought her ticket and boarded the train.,1
3376,"['determined', 'accomplished']",I had to email a photo to save to my new computer.,Ken looked in the mirror as he prepared to leave and halted.,0
3377,"['anxious', 'hopeful', 'inquisitive']","At the funhouse, the three kids all started for the haunted house.","I called up some friends, and see what they were doing.",1
3378,"['sad', 'depressed']",They were to march at the homecoming football game.,He did not have enough money to buy one.,1
3379,"['surprised', 'shocked']","When he re-lit it, it had been full of gas.",Tom noticed none of the food he wanted was there.,0
3380,"['clumsy', 'upset']","While leaving the office, William closed his finger between the doors.",Everyday after school we would all get together and play football.,0
3381,"['good', 'impatient', 'excited', 'happy']",Chad tried on many shoes before he found the perfect pair.,She took everything out.,0
3382,"['competent', 'content', 'satisfied', 'ready']",He always beat everyone he played.,"When he came to the checkout, he took out his credit card.",1
3383,['happy'],My dad really enjoys going fishing.,Tom forgot about the trial after a while.,0
3384,"['sad', 'scared', 'sadness']",Nora's female cat ran away from home.,"When the band manager came in, he went straight to me.",0
3385,"['joyless', 'happy']",My school was hosting a small tournament one day!,One day his friends asked him to come to a Mexican restaurant.,1
3386,"['studious', 'tempted']",Jim rifled through his utility box and found some super glue.,It's tempting to keep holding the rope.,1
3387,"['surprised', 'surprise']",Mary was angry at Tom.,"Suddenly, she realized that the pianist was her school teacher.",1
3388,"['frustration', 'disgust', 'disappointed', 'ashamed', 'rejected']",They were pumped up and ready to go!,"The second date was just mediocre, and the guy was smelly.",1
3389,"['happy', 'satisfied', 'fun', 'joy', 'proud']",She attended the party and had a great time in her old dress!,She smiled at him when they were staring at each other.,0
3390,"['anticipation', 'impatient', 'grateful']",He inspected each and every dinosaur at the exhibit.,Ed was trying to board a plane.,1
3391,"['angry', 'anger', 'sad', 'down', 'vengeful']",She thought she was going to be a hockey star when she grew up.,The hat was very compiled by the ball.,1
3392,"['shocked', 'discouraged']",My muscles were immediately in pain.,Sid decided to use crowdsource workers in a social experiment.,0
3393,"['full', 'happy', 'satisfied']",I primarily tried to sell them in an online store.,He wound up eating pancakes for lunch.,1
3394,"['happy', 'proud', 'successful']",He realized that his hard work is what made him good at the sport.,Bill quickly hopped out and got his spare from the trunk.,0
3395,"['upset', 'disgust', 'anger', 'disgusted', 'rebellious', 'frustrated', 'defiant']",She was arrested last week for it.,He even left Bree a nice tip when he left!,0
3396,"['worried', 'anxious', 'hopeful', 'interested']",His boss said he'd think about it.,I just hope the tutor is clearer than the professor.,0
3397,"['excited', 'satisfied', 'inquisitive', 'content']",Cullen was expecting to lose.,Sue learned that adoption is much cheaper and for a greater cause.,1
3398,"['frightened', 'embarrassed', 'nervous']","Appalled at her selfishness, I remained bitterly silent.","Quickly, he fled from the seen.",1
3399,"['foolish', 'embarrassed', 'sorry']","When Remy arrived at her class, everyone was already leaving.",The accident was Tammy's fault because she was texting while driving.,1
3400,"['worried', 'nervous', 'determined']",Jeanie worried about the competition against her friend.,She told him she would take his ball away if he did it again.,0
3401,"['happy', 'anger', 'frustrated']",Allie kept losing though.,I heard the knock at the door.,0
3402,"['disappointing', 'sad']",Alex broke up with his girlfriend soon afterward.,Tina was working as a maid.,0
3403,"['ashamed', 'bad', 'scared']",The vet told Jerry that the food the cat was eating wasn't good.,She felt much less vulnerable after attaining her black belt.,0
3404,"['happy', 'intrigued', 'surprised']","Walking through the alleyways in Venice, Maryann spotted something.","Growing up, he had sleepovers like many of his friends.",0
3405,"['stressed', 'surprise', 'okay', 'weary', 'tired']",Brian's family went to a theme park.,When she got off the bus she was pushing a stroller.,1
3406,"['afraid', 'scared', 'fear', 'surprise']",They both froze in fear.,The perfect wave came towards me and I rode it happily to shore.,0
3407,"['scared', 'fearful', 'nervous', 'terrified', 'frightened', 'disappointed', 'regretful']","They were pulled towards a large waterfall, so they had to bail.","When her baby is born, she happily enjoys a large Diet Coke.",0
3408,"['scared', 'nervous', 'fearful']",She decided that was a great idea.,Scott was scared of shots.,1
3409,"['fearful', 'sad', 'positive', 'scared', 'terrified']","All of a sudden, the rapids became extreme and they were dragged away.",Jared was very confident.,0
3410,"['threatened', 'hurt', 'angry', 'upset', 'shocked', 'regretful', 'enraged']",I woke up happy and excited.,"One night at a restaurant, Tom got mad and threw a bun at Keira.",1
3411,"['excited', 'anxious']",It was her very first job.,Finally Doug decides to ask out a nice girl from his yoga class.,0
3412,"['hopeful', 'happy', 'restrained', 'trapped', 'uneasy', 'jealous', 'inspired', 'betrayed']",Terrance is recently divorced.,They did it for fun but he actually had a chance to make it big.,1
3413,"['relaxed', 'rested', 'exhausted']",He falls asleep on the couch while watching his show.,He injured his knee and never played again.,0
3414,['angry'],She now has a large stain on her floor.,I called the police and they eventually caught the killer.,0
3415,"['happy', 'surprised', 'static', 'helpful', 'charitable', 'generous', 'awesome', 'successful', 'delighted']",Dan bought every single package of cookies the girls had!,Lisa's prom was coming up in a few months.,0
3416,"['adventurous', 'fine', 'happy']",Xavier swam underwater.,He was fired that evening when his boss found out.,0
3417,"['happy', 'relieved', 'glad', 'highly', 'vindicated']","By the end of the evening, he turned out to be a pretty cool guy.",Darren had been split up with his wife for three years.,0
3418,"['disgusted', 'suspicious']",They also had a crooked ring called The Syndicate.,Soon Kia was an expert guitarist.,0
3419,"['angry', 'rushed']",Ken then returned the pen and thanked him.,Nancy overslept and had to rush to her class.,1
3420,"['anxious', 'desire']",I made provisions for a recently born nephew.,I wanted to take a vacation.,1
3421,"['sad', 'concerned']",She put them in a vase with water.,Mary noticed that her little boy was looking sad.,1
3422,"['proud', 'accomplished', 'passionate', 'happy']","He was proud, but hard working always pushing himself.",Planning was going well.,1
3423,"['good', 'awe', 'cool']","He caught a lot of catfish, but one snapped his pole in half.",It flipped out sideways like a knife.,1
3424,"['calm', 'frustrated', 'fearful']",The birds were scared by a cyclist coming around the corner.,Brendan said tough nuggets.,0
3425,"['excited', 'happy', 'joyful', 'witty']",He really liked the flip phone.,He held it in his hands when he got home.,1
3426,"['ashamed', 'embarrassed', 'grateful', 'sorry', 'angry', 'bad', 'empathetic', 'caring', 'worried', 'nurturing']","He came home with bloody knees and his mom wasn't mad, she helped him.",He found a general discussion forum.,0
3427,"['gratitude', 'painful', 'helpful', 'compassionate']","She tried a different store, but it was too expensive.",Instead of racing he stopped to help the injured runner.,1
3428,"['prepared', 'satisfied', 'happy']",He started his classes well.,He continued to ignore the warnings.,0
3429,"['ashamed', 'nostalgic', 'regretful']",He was told eventually they get put down.,When i was in high school i was to lazy to do assignments.,1
3430,"['proud', 'accomplished', 'helpful']",Anne began working in a boutique at her local mall.,His dreams of becoming a professional soccer player were dashed.,0
3431,"['fulfilled', 'happy', 'peaceful', 'enlightened', 'confident']",John decided he liked Christianity the best.,She soon received thankful letters from her child.,0
3432,"['happy', 'hopeless', 'troubled', 'bored']","He would never get involved with activities, but just watch.",Francis was a big fan of the band Blink 182.,0
3433,"['embarrassed', 'ashamed']",Mike immediately went home and changed his soiled diaper.,My first trip overseas was to Paris.,0
3434,"['happy', 'expectant', 'curious', 'proud', 'bored', 'nervous']",The teacher counted them all in private.,My doctor said I needed to limit my soda intake.,0
3435,"['sad', 'stupid', 'relieved']","With a burp, he stumbled off the track and passed out in a ditch.",Today at work I was thinking about a bonfire.,0
3436,"['melancholy', 'disgusted', 'hungry']",She eat half of it that night.,Jason ate an entire carton of ice cream.,0
3437,"['responsible', 'giving', 'intelligent']",I had my plan notarized by a notary republic.,Lisa got close and pulled it off.,0
3438,"['disappointed', 'concerned', 'worried']",The weather was ugly skies were cloudy.,I decided I would simply pick her up from work.,0
3439,"['brave', 'anxious', 'proud']","And as he foresaw, the next day her body was back to normal.",Ian decided to go through with it anyway.,1
3440,"['relieved', 'stupid', 'disgusted']",Dan got a hammer and pounded the nail in.,Even her attempt at a ponytail didn't work out.,0
3441,"['angry', 'frustrated', 'annoyed']",It cleaned the carpets quite nicely.,My phone battery got fried so I decided to buy a new one.,1
3442,"['fearful', 'uncomfortable', 'nervous']",There didn't seem to be anything she could do to help it.,She asked her friend to do it for her.,1
3443,"['eager', 'surprised', 'annoyed']","Arriving at the bar, she didn't like the music and asked to change it.",Ron was busy building a wooden shelf in his workshop.,0
3444,"['curious', 'tired']",Lindsey had IT certification tests coming up.,He decided it was time for a vacation.,1
3445,"['competent', 'superior', 'haughty', 'sure']",I will invite her again next time we play.,Sonya was a very arrogant person.,1
3446,"['scared', 'afraid']",She put her dog in the house.,John was out of food and water.,1
3447,"['sad', 'hurt', 'surprised', 'irritated', 'pain']",When I got the shot I screamed.,She was going really fast down the sidewalk.,0
3448,"['determined', 'excited', 'ready', 'anxious']",I joined a local baseball team so I could learn how to play baseball.,Tommy was excited about getting a new puppy.,0
3449,"['excited', 'pleased', 'suspenseful', 'hungry']",He took it out for a ride one hot afternoon.,"After about 8 hours, the food was ready.",1
3450,"['resentful', 'embarrassed', 'brave', 'surprised', 'excited', 'aroused', 'disgusted', 'interested', 'rejected', 'flattered', 'annoyed', 'amused', 'angry', 'uncomfortable']",She politely declined and asked him to return to work.,He tries to take her across the street.,0
3451,"['lucky', 'relieved']",He decided to carve her a small figurine.,Luckily I landed a high-paying job and moved out in 30 days.,1
3452,"['annoyed', 'frustrated']",He didn't trust previews anymore.,Luckily the shark swam away.,0
3453,"['sad', 'apathy', 'frustrated']",She pulled the grey hair out with tweezers.,All of a sudden Tom's cat popped up.,0
3454,"['embarrassed', 'grateful', 'helpful', 'caring']",He told her so the next day and since then Ursula sleeps on her back.,Tim had a fear of lightning.,0
3455,"['angry', 'disappointed']",She realized they wouldn't be able to drive her car after all.,Sam broke her wrist.,0
3456,"['determined', 'ambitious']",When I looked in there I got very spooked.,Jordan began studying more.,1
3457,"['curious', 'determined', 'stressed']",Finally he decided he might need a new pair of shoes.,"She explained myths and make believe, and he felt better.",0
3458,"['sad', 'guilty']",The dentist was very kind and made her enjoy the appointment.,"It acted strangely, freaked out and died suddenly.",1
3459,"['enlightened', 'relieved']",They were going to go on a 5 day canoe trip.,He eventually found the remote in between the couch cushions.,1
3460,"['firm', 'confident', 'bad', 'crushed', 'despair', 'depressed']",Their doctor told them it wouldn't be possible to have one.,Larry was baking cookies.,0
3461,"['frustrated', 'tensed', 'determined']",I was trying to find a place to park downtown.,"He went home and his mom saw his knees, but helped him heal.",0
3462,"['upset', 'sick', 'unfortunate', 'arrow']",I ate it but realized afterwards that it was moldy so I fell sick.,One of these pleasures was a good walk.,0
3463,"['disappointed', 'sad', 'miserable', 'frustrated']",I looked out the window and saw it was raining very heavily.,Andy was excited to adopt the black lab.,0
3464,"['upset', 'overwhelmed']","Her employee had called out, so she was by herself.",He read all of the points and tips he could find.,0
3465,"['content', 'happy']",Dwayne became a mailman.,Dad told them to keep it down.,0
3466,['frustrated'],"However, the shelf collapsed.",He had been trying for days to come up with some new and different.,1
3467,"['happy', 'excited', 'pleased', 'loving', 'engrossed']",Andrew and Tom loaded up their canoes.,Lee loved motorcycles.,1
3468,"['excited', 'greedy']",Molly wanted a new gadget.,She decided to go look at another one instead.,0
3469,"['adventurous', 'relaxed', 'strength']",Chuck was hiking the Appalachian Trail.,Todd questioned if Santa Claus really existed the following morning.,0
3470,"['relieved', 'frustrated']",He spent his summer cutting lawns to earn money.,I used to have trouble falling asleep.,1
3471,"['excited', 'admired', 'amused', 'happy']",Dan was excited to see his mango trees bearing fruit in his backyard.,"Together, they all made a funny podcast that got a lot of views.",1
3472,"['happy', 'relieved', 'helpful']",The next morning it worked fine.,"All of a sudden, she couldn't control the cursor.",0
3473,"['bored', 'desire']",John wanted something to do.,They finished the treehouse within two weeks.,0
3474,"['anxious', 'old', 'distressed']",Then she noticed another grey hair.,The senator retired and Zeke decided to run for election.,0
3475,"['accepted', 'proud']","At the top, they found a long line of people.",Now that Charlie is very good at tennis everyone likes Charlie.,1
3476,"['neutral', 'inferior', 'sad', 'worried', 'poor']",Tom had an old laptop.,Suddenly the branch gave way beneath him.,0
3477,"['lonely', 'relaxed', 'connected']",The friends all played android games with each other.,He learned that they were playing nearby.,0
3478,"['happy', 'surprise', 'relief', 'surprised']","When he sat down on the couch, he couldn't find the remote.",Mary got to the meat section and found turkey on sale.,1
3479,"['competent', 'disappointed', 'stressed']",She hated it at first.,He realized he was the first one in.,0
3480,"['fear', 'angry', 'grateful', 'hopeful', 'bossy', 'powerful']",Mom told her to buy four things.,Tim was playing in the house.,0
3481,"['trapped', 'excited', 'happy', 'satisfied']","However, my friend showed up with a box full of art supplies.",He filled it with lots of fish.,1
