,sentence,label
6760,"Since it seemed friendly, I gave it some food.",3
6761,"Since it seemed friendly, I gave it some food.",2
6762,A group of people suddenly appeared and thanked me.,2
6763,A group of people suddenly appeared and thanked me.,3
6764,A group of people suddenly appeared and thanked me.,3
6765,A group of people suddenly appeared and thanked me.,3
6766,A group of people suddenly appeared and thanked me.,3
6767,A group of people suddenly appeared and thanked me.,3
6768,A group of people suddenly appeared and thanked me.,2
6769,A group of people suddenly appeared and thanked me.,2
6770,"Since they were looking for that cat, they offered me an award.",2
6771,"Since they were looking for that cat, they offered me an award.",2
6772,"Since they were looking for that cat, they offered me an award.",0
6773,"Since they were looking for that cat, they offered me an award.",3
6774,"Since they were looking for that cat, they offered me an award.",3
6775,"Since they were looking for that cat, they offered me an award.",3
6776,"Since they were looking for that cat, they offered me an award.",2
6777,"Since they were looking for that cat, they offered me an award.",2
6778,One morning he realized the freezers weren't working.,0
6779,One morning he realized the freezers weren't working.,0
6780,One morning he realized the freezers weren't working.,0
6781,Dave called a repairman immediately.,0
6782,Dave called a repairman immediately.,0
6783,Dave called a repairman immediately.,0
6784,The repairman arrived within an hour.,2
6785,The repairman arrived within an hour.,3
6786,The repairman arrived within an hour.,3
6787,The repairman arrived within an hour.,3
6788,The repairman arrived within an hour.,2
6789,The repairman arrived within an hour.,0
6790,Dave was able to get back on the road in no time!,3
6791,Dave was able to get back on the road in no time!,2
6792,Dave was able to get back on the road in no time!,3
6793,Dave was able to get back on the road in no time!,3
6794,Dave was able to get back on the road in no time!,2
6795,Dave was able to get back on the road in no time!,2
6796,Bobby wanted to try out for the track team.,0
6797,Bobby wanted to try out for the track team.,2
6798,Bobby wanted to try out for the track team.,2
6799,He did not think he was good enough so he started to practice.,2
6800,He did not think he was good enough so he started to practice.,0
6801,He did not think he was good enough so he started to practice.,0
6802,He ran back and forth on his block to improve his speed.,0
6803,He ran back and forth on his block to improve his speed.,0
6804,He ran back and forth on his block to improve his speed.,0
6805,"When he finally tried out for the team, he got on it!",3
6806,"When he finally tried out for the team, he got on it!",3
6807,"When he finally tried out for the team, he got on it!",3
6808,He realized that his hard work is what made him good at the sport.,3
6809,He realized that his hard work is what made him good at the sport.,2
6810,He realized that his hard work is what made him good at the sport.,3
6811,Kimmy was swinging herself on the swing set.,3
6812,Kimmy was swinging herself on the swing set.,3
6813,Kimmy was swinging herself on the swing set.,3
6814,A large bee bit her on the face.,0
6815,A large bee bit her on the face.,0
6816,A large bee bit her on the face.,0
6817,"After a few minutes, her face became swollen.",0
6818,"After a few minutes, her face became swollen.",0
6819,"After a few minutes, her face became swollen.",0
6820,"After a few minutes, her face became swollen.",0
6821,"After a few minutes, her face became swollen.",0
6822,"After a few minutes, her face became swollen.",0
6823,She went to her mom and ended up going to the clinic.,0
6824,She went to her mom and ended up going to the clinic.,0
6825,She went to her mom and ended up going to the clinic.,0
6826,She went to her mom and ended up going to the clinic.,0
6827,She went to her mom and ended up going to the clinic.,0
6828,She went to her mom and ended up going to the clinic.,0
6829,She received medication to treat the condition.,0
6830,She received medication to treat the condition.,0
6831,She received medication to treat the condition.,0
6832,She received medication to treat the condition.,0
6833,She received medication to treat the condition.,0
6834,She received medication to treat the condition.,0
6835,She received medication to treat the condition.,0
6836,She received medication to treat the condition.,0
6837,She received medication to treat the condition.,2
6838,Mike had been getting really bad headaches lately.,0
6839,Mike had been getting really bad headaches lately.,0
6840,Mike had been getting really bad headaches lately.,0
6841,The headaches went on for weeks.,0
6842,The headaches went on for weeks.,0
6843,The headaches went on for weeks.,0
6844,Mike finally decided to see a doctor about his headaches.,0
6845,Mike finally decided to see a doctor about his headaches.,0
6846,Mike finally decided to see a doctor about his headaches.,0
6847,Mike finally decided to see a doctor about his headaches.,0
6848,Mike finally decided to see a doctor about his headaches.,0
6849,At the doctor he receives frightening news.,0
6850,At the doctor he receives frightening news.,0
6851,At the doctor he receives frightening news.,0
6852,At the doctor he receives frightening news.,0
6853,At the doctor he receives frightening news.,0
6854,At the doctor he receives frightening news.,0
6855,Mike has a tumor growing on his head and needs it removed.,0
6856,Mike has a tumor growing on his head and needs it removed.,0
6857,Mike has a tumor growing on his head and needs it removed.,0
6858,Tommy took his girlfriend on a weekend getaway.,2
6859,Tommy took his girlfriend on a weekend getaway.,2
6860,Tommy took his girlfriend on a weekend getaway.,3
6861,Laura found junk food in his suitcase.,0
6862,Laura found junk food in his suitcase.,3
6863,Laura found junk food in his suitcase.,0
6864,Tommy knew she loved Cracker Jacks and that was the one she picked.,3
6865,Tommy knew she loved Cracker Jacks and that was the one she picked.,2
6866,Tommy knew she loved Cracker Jacks and that was the one she picked.,2
6867,"When she opened the prize in the box, there was a diamond ring.",3
6868,"When she opened the prize in the box, there was a diamond ring.",3
6869,"When she opened the prize in the box, there was a diamond ring.",2
6870,Laura turned around in amazement and saw Tommy down on one knee.,3
6871,Laura turned around in amazement and saw Tommy down on one knee.,3
6872,Laura turned around in amazement and saw Tommy down on one knee.,2
6873,"I was sitting at a party, and my friends and I realized we were hungry.",0
6874,"I was sitting at a party, and my friends and I realized we were hungry.",0
6875,"I was sitting at a party, and my friends and I realized we were hungry.",2
6876,"I was sitting at a party, and my friends and I realized we were hungry.",0
6877,"I was sitting at a party, and my friends and I realized we were hungry.",2
6878,"I was sitting at a party, and my friends and I realized we were hungry.",0
6879,We decided to order some pizza.,0
6880,We decided to order some pizza.,2
6881,We decided to order some pizza.,2
6882,We decided to order some pizza.,2
6883,We decided to order some pizza.,0
6884,We decided to order some pizza.,2
6885,"We asked everyone else at the party if they wanted pizza, too.",3
6886,"We asked everyone else at the party if they wanted pizza, too.",2
6887,"We asked everyone else at the party if they wanted pizza, too.",2
6888,"We asked everyone else at the party if they wanted pizza, too.",2
6889,"We asked everyone else at the party if they wanted pizza, too.",0
6890,"We asked everyone else at the party if they wanted pizza, too.",2
6891,"We asked everyone else at the party if they wanted pizza, too.",2
6892,"We asked everyone else at the party if they wanted pizza, too.",3
6893,"We asked everyone else at the party if they wanted pizza, too.",2
6894,Only three other people said they would also eat pizza.,0
6895,Only three other people said they would also eat pizza.,0
6896,Only three other people said they would also eat pizza.,2
6897,Only three other people said they would also eat pizza.,0
6898,Only three other people said they would also eat pizza.,2
6899,We ended up ordering four pizzas.,0
6900,We ended up ordering four pizzas.,2
6901,We ended up ordering four pizzas.,0
6902,We ended up ordering four pizzas.,3
6903,We ended up ordering four pizzas.,3
6904,We ended up ordering four pizzas.,0
6905,We ended up ordering four pizzas.,3
6906,We ended up ordering four pizzas.,2
6907,We ended up ordering four pizzas.,2
6908,We ended up ordering four pizzas.,2
6909,We ended up ordering four pizzas.,3
6910,We ended up ordering four pizzas.,2
6911,Eric was grounded by his father after he got bad grades.,0
6912,Eric was grounded by his father after he got bad grades.,0
6913,Eric was grounded by his father after he got bad grades.,0
6914,Eric was grounded by his father after he got bad grades.,2
6915,Eric was grounded by his father after he got bad grades.,0
6916,Eric was grounded by his father after he got bad grades.,0
6917,"He called me up and asked to come over, but I couldn't.",0
6918,"He called me up and asked to come over, but I couldn't.",0
6919,"He called me up and asked to come over, but I couldn't.",0
6920,"He called me up and asked to come over, but I couldn't.",0
6921,"He called me up and asked to come over, but I couldn't.",0
6922,"He called me up and asked to come over, but I couldn't.",0
6923,"He called me up and asked to come over, but I couldn't.",0
6924,"He called me up and asked to come over, but I couldn't.",0
6925,"He called me up and asked to come over, but I couldn't.",0
6926,"After a few more days I ended up coming over, and Eric wasn't there!",0
6927,"After a few more days I ended up coming over, and Eric wasn't there!",0
6928,Eric left the house and I accidentally called attention to it!,0
6929,Eric left the house and I accidentally called attention to it!,0
6930,Eric left the house and I accidentally called attention to it!,0
6931,Eric left the house and I accidentally called attention to it!,0
6932,Eric left the house and I accidentally called attention to it!,2
6933,Eric left the house and I accidentally called attention to it!,0
6934,Eric ended up getting in even more trouble because of that.,0
6935,Eric ended up getting in even more trouble because of that.,0
6936,Eric ended up getting in even more trouble because of that.,0
6937,Eric ended up getting in even more trouble because of that.,0
6938,Eric ended up getting in even more trouble because of that.,0
6939,Eric ended up getting in even more trouble because of that.,0
6940,Eric ended up getting in even more trouble because of that.,0
6941,Eric ended up getting in even more trouble because of that.,0
6942,Eric ended up getting in even more trouble because of that.,0
6943,I wasn't sure what it was.,0
6944,I wasn't sure what it was.,0
6945,I wasn't sure what it was.,0
6946,I decided to check the tire pressure and one was way low.,2
6947,I decided to check the tire pressure and one was way low.,0
6948,I decided to check the tire pressure and one was way low.,0
6949,I filled it back up to the appropriate specs.,2
6950,I filled it back up to the appropriate specs.,2
6951,I filled it back up to the appropriate specs.,0
6952,After that it was a perfectly smooth ride.,3
6953,After that it was a perfectly smooth ride.,3
6954,After that it was a perfectly smooth ride.,3
6955,After that it was a perfectly smooth ride.,2
6956,After that it was a perfectly smooth ride.,2
6957,After that it was a perfectly smooth ride.,0
6958,Billy did not like the basement.,0
6959,Billy did not like the basement.,0
6960,Billy did not like the basement.,0
6961,It was dark and cold.,0
6962,It was dark and cold.,0
6963,It was dark and cold.,0
6964,His ball had fallen down the stairs.,0
6965,His ball had fallen down the stairs.,0
6966,His ball had fallen down the stairs.,0
6967,He did not go down in the basement.,0
6968,He did not go down in the basement.,0
6969,He did not go down in the basement.,0
6970,He made his dad get the ball.,0
6971,He made his dad get the ball.,2
6972,He made his dad get the ball.,0
6973,I was out for a jog with my girlfriend one day.,3
6974,I was out for a jog with my girlfriend one day.,0
6975,I was out for a jog with my girlfriend one day.,2
6976,We were running down our street when we began to feel hungry.,2
6977,We were running down our street when we began to feel hungry.,0
6978,We were running down our street when we began to feel hungry.,0
6979,We were running down our street when we began to feel hungry.,2
6980,We were running down our street when we began to feel hungry.,0
6981,We decided to look for a restaurant to grab a quick bite.,0
6982,We decided to look for a restaurant to grab a quick bite.,0
6983,We decided to look for a restaurant to grab a quick bite.,2
6984,We decided to look for a restaurant to grab a quick bite.,2
6985,We decided to look for a restaurant to grab a quick bite.,3
6986,We decided to look for a restaurant to grab a quick bite.,0
6987,We found a local burger shop and grabbed some food.,2
6988,We found a local burger shop and grabbed some food.,2
6989,We found a local burger shop and grabbed some food.,3
6990,We found a local burger shop and grabbed some food.,2
6991,We found a local burger shop and grabbed some food.,3
6992,We found a local burger shop and grabbed some food.,3
6993,"After eating, we walked back to our car and went home.",2
6994,"After eating, we walked back to our car and went home.",2
6995,"After eating, we walked back to our car and went home.",3
6996,"After eating, we walked back to our car and went home.",2
6997,"After eating, we walked back to our car and went home.",3
6998,"After eating, we walked back to our car and went home.",2
6999,Cara's life had been filled with very mean men.,0
7000,Cara's life had been filled with very mean men.,0
7001,Cara's life had been filled with very mean men.,0
7002,She despised that she'd ever meet a good one.,0
7003,She despised that she'd ever meet a good one.,0
7004,She despised that she'd ever meet a good one.,0
7005,Then she discovered Craig's list.,3
7006,Then she discovered Craig's list.,0
7007,Then she discovered Craig's list.,3
7008,Then she discovered Craig's list.,0
7009,Then she discovered Craig's list.,0
7010,Then she discovered Craig's list.,0
7011,Cara found a wonderful man on the forum.,3
7012,Cara found a wonderful man on the forum.,3
7013,Cara found a wonderful man on the forum.,3
7014,"She married him, and he's a model husband and father.",2
7015,"She married him, and he's a model husband and father.",3
7016,"She married him, and he's a model husband and father.",3
7017,"She married him, and he's a model husband and father.",2
7018,"She married him, and he's a model husband and father.",3
7019,"She married him, and he's a model husband and father.",3
7020,Tim was never good with dates.,0
7021,Tim was never good with dates.,0
7022,Tim was never good with dates.,0
7023,He always forgot his mom's birthday.,0
7024,He always forgot his mom's birthday.,0
7025,He always forgot his mom's birthday.,0
7026,He always forgot his mom's birthday.,0
7027,He always forgot his mom's birthday.,0
7028,He always forgot his mom's birthday.,0
7029,Last year he called her at the last minute.,2
7030,Last year he called her at the last minute.,2
7031,Last year he called her at the last minute.,0
7032,Last year he called her at the last minute.,2
7033,Last year he called her at the last minute.,3
7034,Last year he called her at the last minute.,0
7035,This year he set an alarm on his calendar.,2
7036,This year he set an alarm on his calendar.,0
7037,This year he set an alarm on his calendar.,0
7038,This year he set an alarm on his calendar.,0
7039,This year he set an alarm on his calendar.,0
7040,This year he set an alarm on his calendar.,0
7041,Even then he still waited until really late to call.,0
7042,Even then he still waited until really late to call.,0
7043,Even then he still waited until really late to call.,2
7044,Even then he still waited until really late to call.,0
7045,Even then he still waited until really late to call.,0
7046,Even then he still waited until really late to call.,0
7047,Cindy is very tired.,0
7048,Cindy is very tired.,0
7049,Cindy is very tired.,0
7050,Her children will not take a nap.,2
7051,Her children will not take a nap.,0
7052,Her children will not take a nap.,0
7053,Her children will not take a nap.,0
7054,Her children will not take a nap.,0
7055,Cindy decided to take the kids to the park.,2
7056,Cindy decided to take the kids to the park.,0
7057,Cindy decided to take the kids to the park.,3
7058,Cindy decided to take the kids to the park.,0
7059,Cindy decided to take the kids to the park.,2
7060,Cindy decided to take the kids to the park.,0
7061,They played until they were tired.,2
7062,They played until they were tired.,0
7063,They played until they were tired.,3
7064,They played until they were tired.,0
7065,They played until they were tired.,2
7066,They played until they were tired.,2
7067,Now they are all taking naps.,3
7068,Now they are all taking naps.,0
7069,Now they are all taking naps.,0
7070,Now they are all taking naps.,3
7071,Now they are all taking naps.,2
7072,Now they are all taking naps.,2
7073,Amy was on a late night drive.,2
7074,Amy was on a late night drive.,2
7075,Amy was on a late night drive.,2
7076,She passed a sign that said Welcome to Ebenezer.,2
7077,She passed a sign that said Welcome to Ebenezer.,0
7078,She passed a sign that said Welcome to Ebenezer.,2
7079,Amy knew she was very lost!,0
7080,Amy knew she was very lost!,0
7081,Amy knew she was very lost!,0
7082,So she pulled into a gas station and asked for directions.,0
7083,So she pulled into a gas station and asked for directions.,0
7084,So she pulled into a gas station and asked for directions.,0
7085,It turned out she had come fifty miles from home!,0
7086,It turned out she had come fifty miles from home!,0
7087,It turned out she had come fifty miles from home!,0
7088,During a typical meeting I was sitting in a wooden chair.,2
7089,During a typical meeting I was sitting in a wooden chair.,0
7090,During a typical meeting I was sitting in a wooden chair.,2
7091,I keep hearing weird noises coming from my chair.,0
7092,I keep hearing weird noises coming from my chair.,0
7093,I keep hearing weird noises coming from my chair.,0
7094,I just ignored it and just paid attention to the meeting.,2
7095,I just ignored it and just paid attention to the meeting.,0
7096,I just ignored it and just paid attention to the meeting.,0
7097,"Then, out of nowhere my chair broke and I fell down.",0
7098,"Then, out of nowhere my chair broke and I fell down.",0
7099,"Then, out of nowhere my chair broke and I fell down.",2
7100,Everyone saw this and laughed.,0
7101,Everyone saw this and laughed.,0
7102,Everyone saw this and laughed.,0
7103,Everyone saw this and laughed.,2
7104,Everyone saw this and laughed.,2
7105,Everyone saw this and laughed.,2
7106,Mike enjoys making wagers.,3
7107,Mike enjoys making wagers.,3
7108,Mike enjoys making wagers.,3
7109,He bets his friend Richard he can't guess the brand of water.,2
7110,He bets his friend Richard he can't guess the brand of water.,0
7111,He bets his friend Richard he can't guess the brand of water.,0
7112,He bets his friend Richard he can't guess the brand of water.,2
7113,He bets his friend Richard he can't guess the brand of water.,0
7114,He bets his friend Richard he can't guess the brand of water.,0
7115,Richard accepts the bet.,2
7116,Richard accepts the bet.,2
7117,Richard accepts the bet.,3
7118,Richard accepts the bet.,0
7119,Richard accepts the bet.,0
7120,Richard accepts the bet.,0
7121,Richard deliberates a bit and then names an expensive brand.,2
7122,Richard deliberates a bit and then names an expensive brand.,0
7123,Richard deliberates a bit and then names an expensive brand.,2
7124,Mike points to a garden hose on the ground and collects his money.,2
7125,Mike points to a garden hose on the ground and collects his money.,2
7126,Mike points to a garden hose on the ground and collects his money.,2
7127,Mike points to a garden hose on the ground and collects his money.,0
7128,Mike points to a garden hose on the ground and collects his money.,0
7129,Mike points to a garden hose on the ground and collects his money.,0
7130,Max was trying browse the internet for fun.,0
7131,Max was trying browse the internet for fun.,3
7132,Max was trying browse the internet for fun.,3
7133,He was enjoying himself except his computer was so slow.,2
7134,He was enjoying himself except his computer was so slow.,0
7135,He was enjoying himself except his computer was so slow.,2
7136,Max decided to fix it once and for all and got some software open.,0
7137,Max decided to fix it once and for all and got some software open.,2
7138,Max decided to fix it once and for all and got some software open.,0
7139,Soon the computer had been checked for viruses and cleaned.,3
7140,Soon the computer had been checked for viruses and cleaned.,3
7141,Soon the computer had been checked for viruses and cleaned.,0
7142,It ran much faster as this.,2
7143,It ran much faster as this.,2
7144,It ran much faster as this.,3
7145,While Tim and Barry were outside they found a big empty box.,3
7146,While Tim and Barry were outside they found a big empty box.,0
7147,While Tim and Barry were outside they found a big empty box.,3
7148,While Tim and Barry were outside they found a big empty box.,3
7149,While Tim and Barry were outside they found a big empty box.,3
7150,While Tim and Barry were outside they found a big empty box.,2
7151,It looked like a good box to make a fort out of.,3
7152,It looked like a good box to make a fort out of.,2
7153,It looked like a good box to make a fort out of.,3
7154,It looked like a good box to make a fort out of.,3
7155,It looked like a good box to make a fort out of.,3
7156,It looked like a good box to make a fort out of.,3
7157,They carried the box all the way to Tim's house.,3
7158,They carried the box all the way to Tim's house.,2
7159,They carried the box all the way to Tim's house.,3
7160,They carried the box all the way to Tim's house.,3
7161,They carried the box all the way to Tim's house.,3
7162,They carried the box all the way to Tim's house.,0
7163,"After they cut the door for the box, a bird flew in.",2
7164,"After they cut the door for the box, a bird flew in.",3
7165,"After they cut the door for the box, a bird flew in.",2
7166,"After they cut the door for the box, a bird flew in.",0
7167,"After they cut the door for the box, a bird flew in.",0
7168,"After they cut the door for the box, a bird flew in.",3
7169,"When Barry came in the fort, the bird sat on his shoulder.",3
7170,"When Barry came in the fort, the bird sat on his shoulder.",3
7171,"When Barry came in the fort, the bird sat on his shoulder.",3
7172,"When Barry came in the fort, the bird sat on his shoulder.",0
7173,"When Barry came in the fort, the bird sat on his shoulder.",2
7174,"When Barry came in the fort, the bird sat on his shoulder.",2
7175,"When Barry came in the fort, the bird sat on his shoulder.",3
7176,"When Barry came in the fort, the bird sat on his shoulder.",2
7177,"When Barry came in the fort, the bird sat on his shoulder.",2
7178,I got a job as a fast food cashier.,3
7179,I got a job as a fast food cashier.,0
7180,I got a job as a fast food cashier.,2
7181,"Unfortunately, I was too nervous around the customers.",0
7182,"Unfortunately, I was too nervous around the customers.",0
7183,"Unfortunately, I was too nervous around the customers.",0
7184,My boss told me I wouldn't make it as a cashier.,0
7185,My boss told me I wouldn't make it as a cashier.,0
7186,My boss told me I wouldn't make it as a cashier.,0
7187,My boss told me I wouldn't make it as a cashier.,0
7188,My boss told me I wouldn't make it as a cashier.,0
7189,My boss told me I wouldn't make it as a cashier.,0
7190,"I began to cry, thinking I would be fired.",0
7191,"I began to cry, thinking I would be fired.",0
7192,"I began to cry, thinking I would be fired.",0
7193,My boss ended up placing me at the burger station instead.,3
7194,My boss ended up placing me at the burger station instead.,2
7195,My boss ended up placing me at the burger station instead.,3
7196,My boss ended up placing me at the burger station instead.,0
7197,My boss ended up placing me at the burger station instead.,0
7198,My boss ended up placing me at the burger station instead.,2
7199,He came over to introduce himself every day.,3
7200,He came over to introduce himself every day.,2
7201,He came over to introduce himself every day.,0
7202,I found out he had Alzheimer's disease.,0
7203,I found out he had Alzheimer's disease.,0
7204,I found out he had Alzheimer's disease.,0
7205,I was patient and reintroduced myself in return.,0
7206,I was patient and reintroduced myself in return.,0
7207,I was patient and reintroduced myself in return.,0
7208,I was patient and reintroduced myself in return.,3
7209,I was patient and reintroduced myself in return.,0
7210,I was patient and reintroduced myself in return.,2
7211,I went for a walk around the block with him.,2
7212,I went for a walk around the block with him.,2
7213,I went for a walk around the block with him.,3
7214,I went for a walk around the block with him.,2
7215,I went for a walk around the block with him.,3
7216,I went for a walk around the block with him.,2
7217,Cindy awoke in panic when she realized that she was late for work.,0
7218,Cindy awoke in panic when she realized that she was late for work.,0
7219,Cindy awoke in panic when she realized that she was late for work.,2
7220,She hopped into the shower with her toothbrush.,0
7221,She hopped into the shower with her toothbrush.,0
7222,She hopped into the shower with her toothbrush.,0
7223,"When she was finished with cleaning, she put her clothes on.",0
7224,"When she was finished with cleaning, she put her clothes on.",0
7225,"When she was finished with cleaning, she put her clothes on.",0
7226,Cindy grabbed her keys and some toast and she headed out the door.,0
7227,Cindy grabbed her keys and some toast and she headed out the door.,0
7228,Cindy grabbed her keys and some toast and she headed out the door.,0
7229,She dialed the manager and let him know that she was on her way.,0
7230,She dialed the manager and let him know that she was on her way.,0
7231,She dialed the manager and let him know that she was on her way.,0
7232,She dialed the manager and let him know that she was on her way.,0
7233,She dialed the manager and let him know that she was on her way.,0
7234,Little Owen loved playing with his soccer ball.,3
7235,Little Owen loved playing with his soccer ball.,3
7236,Little Owen loved playing with his soccer ball.,3
7237,His favorite thing was to roll it down the hill.,3
7238,His favorite thing was to roll it down the hill.,3
7239,His favorite thing was to roll it down the hill.,3
7240,This angered his mother who had to chase after the ball.,3
7241,This angered his mother who had to chase after the ball.,0
7242,This angered his mother who had to chase after the ball.,0
7243,This angered his mother who had to chase after the ball.,0
7244,This angered his mother who had to chase after the ball.,0
7245,This angered his mother who had to chase after the ball.,0
7246,She told him she would take his ball away if he did it again.,0
7247,She told him she would take his ball away if he did it again.,0
7248,She told him she would take his ball away if he did it again.,0
7249,She told him she would take his ball away if he did it again.,0
7250,She told him she would take his ball away if he did it again.,0
7251,She told him she would take his ball away if he did it again.,0
7252,Owen disobeyed and his mom took the ball away.,0
7253,Owen disobeyed and his mom took the ball away.,0
7254,Owen disobeyed and his mom took the ball away.,0
7255,Owen disobeyed and his mom took the ball away.,0
7256,Owen disobeyed and his mom took the ball away.,0
7257,Owen disobeyed and his mom took the ball away.,0
7258,Miranda was swinging on a rope swing hanging from an old tree.,3
7259,Miranda was swinging on a rope swing hanging from an old tree.,2
7260,The wooden seat broke in half!,0
7261,The wooden seat broke in half!,0
7262,The wooden seat broke in half!,0
7263,Miranda held onto the ropes as she slid down to the ground.,0
7264,Miranda held onto the ropes as she slid down to the ground.,0
7265,Miranda held onto the ropes as she slid down to the ground.,0
7266,Miranda got a bad friction burn on both hands.,0
7267,Miranda got a bad friction burn on both hands.,0
7268,Miranda got a bad friction burn on both hands.,0
7269,Her mom brought her two ice packs to place on her hands.,0
7270,Her mom brought her two ice packs to place on her hands.,2
7271,Her mom brought her two ice packs to place on her hands.,0
7272,Her mom brought her two ice packs to place on her hands.,0
7273,Her mom brought her two ice packs to place on her hands.,2
7274,Her mom brought her two ice packs to place on her hands.,3
7275,My cousin is a feminist.,0
7276,My cousin is a feminist.,3
7277,My cousin is a feminist.,3
7278,She goes to rallies about women's rights.,2
7279,She goes to rallies about women's rights.,2
7280,She goes to rallies about women's rights.,2
7281,She fights for a cause she believes in.,2
7282,She fights for a cause she believes in.,0
7283,She fights for a cause she believes in.,3
7284,She was arrested last week for it.,0
7285,She was arrested last week for it.,0
7286,She was arrested last week for it.,0
7287,She is proud.,0
7288,She is proud.,0
7289,She is proud.,0
7290,She is proud.,2
7291,She is proud.,2
7292,Johnny wants to find a way to cool down on a hot day.,0
7293,Johnny wants to find a way to cool down on a hot day.,0
7294,Johnny wants to find a way to cool down on a hot day.,0
7295,He decides to go for a swim at the lake nearby his house.,2
7296,He decides to go for a swim at the lake nearby his house.,0
7297,He decides to go for a swim at the lake nearby his house.,3
7298,Johnny packs his swimming trunks and bikes to the lake.,3
7299,Johnny packs his swimming trunks and bikes to the lake.,2
7300,Johnny packs his swimming trunks and bikes to the lake.,3
7301,He spends the whole day swimming there.,3
7302,He spends the whole day swimming there.,2
7303,He spends the whole day swimming there.,3
7304,Johnny is glad he found a way to stay cool.,3
7305,Johnny is glad he found a way to stay cool.,3
7306,Johnny is glad he found a way to stay cool.,3
7307,Kelsey was on a trip with her boyfriend.,2
7308,Kelsey was on a trip with her boyfriend.,2
7309,Kelsey was on a trip with her boyfriend.,2
7310,Kelsey was on a trip with her boyfriend.,3
7311,Kelsey was on a trip with her boyfriend.,3
7312,Kelsey was on a trip with her boyfriend.,3
7313,"One night, they started to argue over something.",0
7314,"One night, they started to argue over something.",0
7315,"One night, they started to argue over something.",0
7316,"One night, they started to argue over something.",0
7317,"One night, they started to argue over something.",0
7318,"One night, they started to argue over something.",0
7319,The fight began to escalate and both people were being very harsh.,0
7320,The fight began to escalate and both people were being very harsh.,0
7321,The fight began to escalate and both people were being very harsh.,0
7322,The fight began to escalate and both people were being very harsh.,0
7323,The fight began to escalate and both people were being very harsh.,0
7324,The fight began to escalate and both people were being very harsh.,0
7325,"Finally, they decided to break up.",0
7326,"Finally, they decided to break up.",0
7327,"Finally, they decided to break up.",0
7328,"Finally, they decided to break up.",0
7329,"Finally, they decided to break up.",0
7330,"Finally, they decided to break up.",0
7331,Kelsey called her parents and went home that night.,0
7332,Kelsey called her parents and went home that night.,0
7333,Kelsey called her parents and went home that night.,0
7334,Kelsey called her parents and went home that night.,0
7335,Kelsey called her parents and went home that night.,0
7336,Kelsey called her parents and went home that night.,0
7337,Kelsey called her parents and went home that night.,0
7338,Kelsey called her parents and went home that night.,0
7339,Kelsey called her parents and went home that night.,0
7340,"One day, Oscar's car stopped functioning.",0
7341,"One day, Oscar's car stopped functioning.",0
7342,"One day, Oscar's car stopped functioning.",0
7343,Oscar decided to sell his old vehicle to a mechanic.,2
7344,Oscar decided to sell his old vehicle to a mechanic.,3
7345,Oscar decided to sell his old vehicle to a mechanic.,0
7346,Oscar decided to sell his old vehicle to a mechanic.,0
7347,Oscar decided to sell his old vehicle to a mechanic.,2
7348,Oscar decided to sell his old vehicle to a mechanic.,2
7349,"With the money from his sale, Oscar went to the car dealership.",3
7350,"With the money from his sale, Oscar went to the car dealership.",2
7351,"With the money from his sale, Oscar went to the car dealership.",0
7352,Oscar purchased a blue convertible for a fair price.,2
7353,Oscar purchased a blue convertible for a fair price.,3
7354,Oscar purchased a blue convertible for a fair price.,3
7355,Oscar drove home in his new car.,3
7356,Oscar drove home in his new car.,3
7357,Oscar drove home in his new car.,3
7358,Zeke was taking a road trip.,2
7359,Zeke was taking a road trip.,3
7360,Zeke was taking a road trip.,3
7361,He needed to use the bathroom immediately.,0
7362,He needed to use the bathroom immediately.,0
7363,He needed to use the bathroom immediately.,0
7364,There were no restrooms in near sight.,0
7365,There were no restrooms in near sight.,0
7366,There were no restrooms in near sight.,0
7367,Zeke parked and relieved himself on the side of the road.,0
7368,Zeke parked and relieved himself on the side of the road.,2
7369,Zeke parked and relieved himself on the side of the road.,3
7370,He was spotted by an officer and was issued a ticket.,0
7371,He was spotted by an officer and was issued a ticket.,0
7372,He was spotted by an officer and was issued a ticket.,0
7373,Sally liked toys alot for xmas.,3
7374,Sally liked toys alot for xmas.,3
7375,Sally liked toys alot for xmas.,2
7376,And this year she got alot.,3
7377,And this year she got alot.,3
7378,And this year she got alot.,3
7379,But she never took care of them.,0
7380,But she never took care of them.,0
7381,But she never took care of them.,3
7382,So her mother donated them to a local charity.,0
7383,So her mother donated them to a local charity.,0
7384,So her mother donated them to a local charity.,2
7385,So her mother donated them to a local charity.,0
7386,So her mother donated them to a local charity.,0
7387,So her mother donated them to a local charity.,3
7388,So her mother donated them to a local charity.,3
7389,So her mother donated them to a local charity.,2
7390,So her mother donated them to a local charity.,0
7391,Sally even noticed they were gone.,0
7392,Sally even noticed they were gone.,0
7393,Sally even noticed they were gone.,0
7394,Mike was a 28 year old man who wore diapers.,0
7395,Mike was a 28 year old man who wore diapers.,0
7396,Mike was a 28 year old man who wore diapers.,0
7397,Mike only wore diapers because he was to lazy to use the restroom.,2
7398,Mike only wore diapers because he was to lazy to use the restroom.,0
7399,Mike only wore diapers because he was to lazy to use the restroom.,0
7400,One day Mike was shopping at the mall when he smelled something bad.,0
7401,One day Mike was shopping at the mall when he smelled something bad.,0
7402,One day Mike was shopping at the mall when he smelled something bad.,0
7403,Mike soon realized he had soiled his adult size diaper.,0
